Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_SWARM_OBSERVER_WARNING_TITLE,Warning,Warning,Varování,Warnung,Предупреждение,Ostrzeżenie,Figyelmeztetés,Attenzione,Advertencia,Avertissement,警告,警告,Aviso,警告,
STR_SWARM_OBSERVER_WARNING_MESSAGE_1,You will receive a penalty if you disconnect in this area.,You will receive a penalty if you disconnect in this area.,Pokud se v této oblasti odpojíte obdržíte penalizaci.,Sie erhalten eine Strafe wenn Sie sich in diesem Bereich trennen.,Вы получите штраф если отключитесь в этой зоне.,Otrzymasz karę jeśli rozłączysz się w tym obszarze.,Büntetést kapsz ha itt szétkapcsolódsz.,Riceverai una penalità se ti disconnetti in questa area.,Recibirás una penalización si te desconectas en esta área.,Vous recevrez une pénalité si vous vous déconnectez dans cette zone.,如果您在此區域斷開連接將受到懲罰,このエリアで切断すると罰則を受けます,Você receberá uma penalidade se desconectar nesta área.,如果您在此区域断开连接将受到惩罚,
STR_SWARM_OBSERVER_WARNING_MESSAGE_2,By disconnecting your behavior will be recorded and administrators will be notified.,By disconnecting your behavior will be recorded and administrators will be notified.,Odpojením bude vaše chování zaznamenáno a administrátoři budou upozorněni.,Durch Trennen wird Ihr Verhalten aufgezeichnet und Administratoren werden benachrichtigt.,При отключении ваше поведение будет записано и администраторы будут уведомлены.,Podczas rozłączania Twoje zachowanie zostanie zarejestrowane a administratorzy będą powiadomieni.,Szétkapcsolódással a viselkedésed rögzítésre kerül és az adminisztrátorok értesítést kapnak.,Disconnettendoti il tuo comportamento verrà registrato e gli amministratori verranno avvisati.,Al desconectarte tu comportamiento será registrado y los administradores serán notificados.,En vous déconnectant votre comportement sera enregistré et les administrateurs seront notifiés.,斷開連接後您的行為將被記錄並通知管理員,切断すると動作が記録され管理者に通知されます,Ao desconectar seu comportamento será registrado e os administradores serão notificados.,断开连接后您的行为将被记录并通知管理员,
STR_SWARM_OBSERVER_WARNING_MESSAGE_3,You have 60 seconds to reconnect without receiving a penalty.,You have 60 seconds to reconnect without receiving a penalty.,Máte 60 sekund na opětovné připojení bez penalizace.,Sie haben 60 Sekunden um sich ohne Strafe wieder zu verbinden.,У вас есть 60 секунд чтобы переподключиться без штрафа.,Masz 60 sekund na ponowne połączenie bez otrzymania kary.,60 másodperced van újracsatlakozni büntetés nélkül.,Hai 60 secondi per riconnetterti senza ricevere una penalità.,Tienes 60 segundos para reconectarte sin recibir una penalización.,Vous avez 60 secondes pour vous reconnecter sans recevoir de pénalité.,您有60秒的時間重新連接而不會受到懲罰,罰則を受けずに再接続するには60秒あります,Você tem 60 segundos para reconectar sem receber uma penalidade.,您有60秒的时间重新连接而不会受到惩罚,
STR_SWARM_OBSERVER_BUTTON_OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,
STR_SWARM_OBSERVER_BUTTON_CANCEL,Cancel,Cancel,Zrušit,Abbrechen,Отмена,Anuluj,Mégse,Annulla,Cancelar,Annuler,取消,キャンセル,Cancelar,取消,
STR_SWARM_OBSERVER_NOTICE_TITLE,Notice,Notice,Oznámení,Hinweis,Уведомление,Powiadomienie,Értesítés,Avviso,Aviso,Mise en demeure,通知,お知らせ,Aviso,通知,
STR_SWARM_OBSERVER_NOTICE_MESSAGE_1,You have disconnected in a restricted area.,You have disconnected in a restricted area.,Odpojili jste se v omezené oblasti.,Sie haben sich in einem eingeschränkten Bereich getrennt.,Вы отключились в запрещённой зоне.,Rozłączyłeś się w obszarze ograniczonym.,Szétkapcsolódtál egy korlátozott területen.,Ti sei disconnesso in un'area ristretta.,Te has desconectado en un área restringida.,Vous vous êtes déconnecté dans une zone restreinte.,您在受限區域中斷開了連接,制限区域で切断しました,Você se desconectou em uma área restrita.,您在受限区域中断开了连接,
STR_SWARM_OBSERVER_NOTICE_MESSAGE_2,Your behavior has been recorded and administrators have been notified.,Your behavior has been recorded and administrators have been notified.,Vaše chování bylo zaznamenáno a administrátoři byli upozorněni.,Ihr Verhalten wurde aufgezeichnet und Administratoren wurden benachrichtigt.,Ваше поведение было записано и администраторы были уведомлены.,Twoje zachowanie zostało zarejestrowane a administratorzy zostali powiadomieni.,A viselkedésed rögzítésre került és az adminisztrátorok értesítést kaptak.,Il tuo comportamento è stato registrato e gli amministratori sono stati avvisati.,Tu comportamiento ha sido registrado y los administradores han sido notificados.,Votre comportement a été enregistré et les administrateurs ont été notifiés.,您的行為已被記錄並已通知管理員,動作が記録され管理者に通知されました,Seu comportamento foi registrado e os administradores foram notificados.,您的行为已被记录并已通知管理员,
STR_SWARM_OBSERVER_NOTICE_MESSAGE_3_SINGLE,You currently have 1 disconnection in restricted areas in the last 3 days.,You currently have 1 disconnection in restricted areas in the last 3 days.,Momentálně máte 1 odpojení v omezených oblastech za poslední 3 dny.,Sie haben derzeit 1 Trennung in eingeschränkten Bereichen in den letzten 3 Tagen.,У вас сейчас 1 отключение в запрещённых зонах за последние 3 дня.,Obecnie masz 1 rozłączenie w obszarach ograniczonych w ciągu ostatnich 3 dni.,Jelenleg 1 szétkapcsolódásod van korlátozott területeken az elmúlt 3 napban.,Attualmente hai 1 disconnessione in aree ristrette negli ultimi 3 giorni.,Actualmente tienes 1 desconexión en áreas restringidas en los últimos 3 días.,Vous avez actuellement 1 déconnexion dans les zones restreintes au cours des 3 derniers jours.,您目前在過去3天內在受限區域中有1次斷開連接,過去3日間に制限区域で1回切断しています,Você atualmente tem 1 desconexão em áreas restritas nos últimos 3 dias.,您目前在过去3天内在受限区域中有1次断开连接,
